first_feasible_sol,first_feasible_time,total_ban_num,objective_value,total_iter_num,total_time,cp_feasible_sol,cp_feasible_time,optimal,cp_value,cp_time
0,0.07,0,0,1,0.07,,,,,
0,0.04,0,0,1,0.04,,,,,
0,0.04,0,0,1,0.04,,,,,
0,0.05,0,0,1,0.05,,,,,
0,0.04,0,0,1,0.04,,,,,
0,0.05,1,0,1,0.05,,,,,
1,0.04,2,1,1,0.04,,,,,
0,0.05,1,0,1,0.05,,,,,
0,0.03,1,0,1,0.03,,,,,
0,0.06,0,0,1,0.06,,,,,
0,0.04,4,0,1,0.04,,,,,
0,0.05,2,0,1,0.05,,,,,
0,0.04,2,0,1,0.04,,,,,
0,0.04,3,0,1,0.04,,,,,
0,0.03,2,0,1,0.03,,,,,
0,0.04,3,0,1,0.04,,,,,
0,0.04,2,0,1,0.04,,,,,
0,0.05,4,0,1,0.05,,,,,
0,0.05,6,0,1,0.05,,,,,
0,0.04,2,0,1,0.04,,,,,
1,0.07,0,1,1,0.07,,,,,
1,0.07,0,1,1,0.07,,,,,
1,0.07,0,1,1,0.07,,,,,
1,0.06,0,1,1,0.06,,,,,
1,0.06,0,1,1,0.06,,,,,
0,0.11,0,0,1,0.11,,,,,
0,0.09,0,0,1,0.09,,,,,
0,0.1,0,0,1,0.1,,,,,
0,0.11,0,0,1,0.11,,,,,
0,0.09,0,0,1,0.09,,,,,
0,0.11,1,0,1,0.11,,,,,
1,0.12,2,1,1,0.12,,,,,
0,0.13,1,0,1,0.13,,,,,
0,0.11,1,0,1,0.11,,,,,
0,0.11,0,0,1,0.11,,,,,
0,0.11,3,0,1,0.11,,,,,
1,0.19,6,1,1,0.19,,,,,
1,0.14,3,1,1,0.14,,,,,
0,0.11,2,0,1,0.11,,,,,
1,0.14,3,1,1,0.14,,,,,
2,0.17,0,2,1,0.17,,,,,
2,0.14,0,2,1,0.14,,,,,
2,0.15,0,2,1,0.15,,,,,
2,0.15,0,2,1,0.15,,,,,
2,0.17,0,2,1,0.17,,,,,
1,0.14,0,1,1,0.14,,,,,
3,0.21,1,2,2,0.31,,,,,
2,0.1,1,2,1,0.1,,,,,
1,0.14,0,1,1,0.14,,,,,
1,0.13,0,1,1,0.13,,,,,
0,0.17,0,0,1,0.17,,,,,
0,0.17,0,0,1,0.17,,,,,
0,0.15,0,0,1,0.15,,,,,
0,0.17,0,0,1,0.17,,,,,
0,0.17,0,0,1,0.17,,,,,
0,0.17,1,0,1,0.17,,,,,
0,0.17,1,0,1,0.17,,,,,
0,0.17,1,0,1,0.17,,,,,
0,0.16,1,0,1,0.16,,,,,
0,0.17,0,0,1,0.17,,,,,
4,1.17,0,4,1,1.17,,,,,
4,1.12,0,4,1,1.12,,,,,
4,1.13,0,4,1,1.13,,,,,
4,1.14,0,4,1,1.14,,,,,
4,1.16,0,4,1,1.16,,,,,
3,0.76,0,3,1,0.76,,,,,
3,0.86,0,3,1,0.86,,,,,
3,0.8,0,3,1,0.8,,,,,
3,0.77,0,3,1,0.77,,,,,
3,0.82,0,3,1,0.82,,,,,
2,0.64,0,2,1,0.64,,,,,
6,595.26,1,3,2,595.68,,,,,
2,0.68,0,2,1,0.68,,,,,
2,0.57,0,2,1,0.57,,,,,
2,0.95,0,2,1,0.95,,,,,
2,360.95,0,2,2,360.95,,,,,
2,0.23,0,2,1,0.23,,,,,
3,0.42,3,2,4,3.66,,,,,
2,0.33,2,2,1,0.33,,,,,
2,0.26,0,2,1,0.26,,,,,
